"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Approach for Single-Channel Sound Source Localization","K. Youssef; J. M. H. Barakat; S. Said; S. A. Kork; T. Beyrouthy","College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait",IEEE Access,"9 Aug 2024","2024","12","","107476","107487","Sound source localization for machines has been studied in microphone array and binaural paradigms in most cases, while much less work has been done in the single-microphone or monaural paradigm. This paper addresses this task and presents a system designed to classify azimuths of a speech-emitting source with respect to a binaural receiver, however using only one of its ears. The system uses the spectrum second derivative approximation calculated on short duration frames and based on a bank of gammatone filters, in conjunction with a classifier artificial neural network. It is tested to explore its abilities and the influence of different parameters on its performances. True recognition rates and confusion matrices are reported in different evaluations studying the effects of the frame duration, filterbank size, silence elimination, generalization capabilities and source movement. Reported results show an ability to classify azimuths correctly up to a certain extent depending on the parameters used, with confusions occurring mostly with neighboring azimuths. The presented system can be built upon for more efficient localization of speech sources in both azimuth and elevation components.","2169-3536","","10.1109/ACCESS.2024.3437456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620997","Sound source localization;monaural;machine listening;machine learning;artificial neural network;sound features","Location awareness;Azimuth;Microphone arrays;Ear;Artificial neural networks;Accuracy;Receivers","","","","39","CCBYNCND","2 Aug 2024","","","IEEE","IEEE Journals"
"Parametric Modeling and Deep Learning for Enhancing Pain Assessment in Postanesthesia","M. Ghita; I. R. Birs; D. Copot; C. I. Muresan; M. Neckebroek; C. M. Ionescu","Research Group of Dynamical Systems and Control, Department of Electromechanical, Systems and Metal Engineering, Ghent University, Gent, Belgium; Research Group of Dynamical Systems and Control, Department of Electromechanical, Systems and Metal Engineering, Ghent University, Belgium; Research Group of Dynamical Systems and Control, Department of Electromechanical, Systems and Metal Engineering, Ghent University, Belgium; Department of Automation, Technical University of Cluj-Napoca, Romania; Department of Anesthesia, Ghent University Hospital, Belgium; Research Group of Dynamical Systems and Control, Department of Electromechanical, Systems and Metal Engineering, Ghent University, Belgium",IEEE Transactions on Biomedical Engineering,"27 Sep 2023","2023","70","10","2991","3002","Objective: The problem of reliable and widely accepted measures of pain is still open. It follows the objective of this work as pain estimation through post-surgical trauma modeling and classification, to increase the needed reliability compared to measurements only. Methods: This article proposes (i) a recursive identification method to obtain the frequency response and parameterization using fractional-order impedance models (FOIM), and (ii) deep learning with convolutional neural networks (CNN) classification algorithms using time-frequency data and spectrograms. The skin impedance measurements were conducted on 12 patients throughout the postanesthesia care in a proof-of-concept clinical trial. Recursive least-squares system identification was performed using a genetic algorithm for initializing the parametric model. The online parameter estimates were compared to the self-reported level by the Numeric Rating Scale (NRS) for analysis and validation of the results. Alternatively, the inputs to CNNs were the spectrograms extracted from the time-frequency dataset, being pre-labeled in four intensities classes of pain during offline and online training with the NRS. Results: The tendency of nociception could be predicted by monitoring the changes in the FOIM parameters' values or by retraining online the network. Moreover, the tissue heterogeneity, assumed during nociception, could follow the NRS trends. The online predictions of retrained CNN have more specific trends to NRS than pain predicted by the offline population-trained CNN. Conclusion: We propose tailored online identification and deep learning for artefact corrupted environment. The results indicate estimations with the potential to avoid over-dosing due to the objectivity of the information. Significance: Models and artificial intelligence (AI) allow objective and personalized nociception-antinociception prediction in the patient safety era for the design and evaluation of closed-loop analgesia controllers.","1558-2531","","10.1109/TBME.2023.3274541","FWO Fonds Wetenschappelijk Onderzoek Doctoral Fellowship(grant numbers:1184220N); BOF Bijzonder Onderzoeksfonds UGent Postdoctoral Fellowship(grant numbers:BOF22/PDO/008); FWO Senior Postdoctoral Fellowship(grant numbers:12X6823N); ERC Consolidator(grant numbers:AMICAS 101043225); European Commission; Romanian Ministry of Education and Research, CNCS-UEFISCDI(grant numbers:PN-III-P1-1.1-PD-2021-0204); Romanian Ministry of Research, Innovation and Digitization(grant numbers:PNRR-III-C9-2022–I9,760018/27.01.2023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10198273","Artificial intelligence;closed-loop analgesia control;fractional order impedance model;frequency-domain analysis;recursive identification;spectroscopy","Pain;Biomedical monitoring;Monitoring;Voltage measurement;Skin;Current measurement;Anesthesia","","2","","46","CCBY","1 Aug 2023","","","IEEE","IEEE Journals"
"A Novel Adaptive Spectral Drift Correction Method for Recalibrating the MarSCoDe LIBS Data in China's Tianwen-1 Mars Mission","S. Liu; H. Zeng; H. Wang; X. Tong; H. Zhao; K. Du; J. Zhang","College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"23 Jun 2023","2023","16","","5430","5440","The Tianwen-1 mission, China's first interplanetary endeavor and Mars mission, touched the surface of the Red Planet on May 15, 2021. With the successful landing of the Zhurong rover on the southern Utopian Planitia of Mars, the Mars Surface Composition Detector (MarSCoDe) on board the rover has started to analyze the material composition of the Martian surface by using the laser-induced breakdown spectroscopy (LIBS). However, changes in instrument temperature and external environment during operation will cause spectral drift in LIBS data, leading to inaccurate material composition inversion results due to shifts in elemental characteristic peak positions. To address this problem, an adaptive spectral drift correction (ASDC) approach is proposed. By considering the distribution of characteristic peaks and drift differences between different elements, the proposed ASDC method corrects the spectral drift in LIBS science data according to an adaptive spectral segmentation strategy. Experimental results obtained on 36 real LIBS science data acquired over 19 exploration activities confirmed the effectiveness of the proposed approach in terms of lower average drift values, by comparing it with two reference methods. Taking the onboard calibration data as a reference, the average spectral drift values of the LIBS science data before and after applying ASDC decreased from 0.1012 nm to 0.0179 nm, 0.0926 nm to 0.0158 nm, and 0.1697 nm to 0.0103 nm in three LIBS channels, respectively. Furthermore, the resulting decrease in the standard deviation and rms error of the average drift values also proved the robustness of the proposed method.","2151-1535","","10.1109/JSTARS.2023.3281852","National Natural Science Foundation of China(grant numbers:42241130,42071324,42221002); Shanghai Rising-Star Program(grant numbers:21QA1409100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141660","Adaptive spectral segmentation;  $in situ$   detection;laser-induced breakdown spectroscopy (LIBS);Mars;Mars Surface Composition Detector (MarSCoDe);spectral drift correction","Mars;Calibration;Surface emitting lasers;Soil;Instruments;Charge coupled devices;Interplanetary exploration","","4","","31","CCBY","1 Jun 2023","","","IEEE","IEEE Journals"
"Mapping Phytoplankton and Algal Blooms With a Novel Multisensor Water Index","V. K. Mishra; A. K. Mishra","Department of Electrical Engineering, University of Cape Town, Cape Town, South Africa; Department of Electrical Engineering, University of Cape Town, Cape Town, South Africa",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"11 Mar 2024","2024","17","","5899","5910","Multispectral satellite imageries (MSIs) are strong enough to delineate features of interest by suppressing others. The water index is a method applied to delineate the water features by combining the multispectral band images. This research proposes a novel index for extracting water features from multisensor MSIs named multisensor water index. The proposed index, along with existing indices, is applied on Landsat-8 OLI imageries, a comparative analysis is done, and it is found that the proposed index is outperforming with 99.77% accuracy. The proposed index was validated on other sensors, such as a series of Landsat (5, 7, 8, and 9), Sentinel-2, Resourcesat, and Modis satellite imagery, by mapping water features successfully. Furthermore, the proposed index maps marine pollution by discriminating phytoplankton and algal bloom from the water feature. It is observed that the increase in phytoplankton or algal bloom is the result of eutrophication. The blooming of phytoplankton and algae is on the surface of the water. Thus, it causes shading at the bottom of the marine ecosystem and negatively impacts the growth of seagrasses, dissolved oxygen levels, fish suffocation, water properties, and other bottom habitats. The three test sites, viz., lake Villarrica, lake Okeechobee, and the Atlantic Ocean, have been considered to study increasing phytoplankton and algal bloom. The proposed index successfully discriminates the phytoplankton and algal bloom from the water features.","2151-1535","","10.1109/JSTARS.2024.3368199","Project SmartPol; MARTERA 73/78 Scheme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10443030","Marine pollution;phytoplankton and algal bloom;water index","Indexes;Lakes;Oceans;Phytoplankton;Sea surface;Feature extraction;Earth","","1","","50","CCBYNCND","21 Feb 2024","","","IEEE","IEEE Journals"
"Comparing Multi-Dimensional fNIRS Features Using Bayesian Optimization-Based Neural Networks for Mild Cognitive Impairment (MCI) Detection","C. Zhang; H. Yang; C. -C. Fan; S. Chen; C. Fan; Z. -G. Hou; J. Chen; L. Peng; K. Xiang; Y. Wu; H. Xie","Macau Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; Department of Rehabilitation Medicine, Huashan Hospital, Fudan University, Shanghai, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; Macau Institute of Systems Engineering, Macau University of Science and Technology, Macau, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; Department of Rehabilitation Medicine, Huashan Hospital, Fudan University, Shanghai, China; Department of Rehabilitation Medicine, Huashan Hospital, Fudan University, Shanghai, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Feb 2023","2023","31","","1019","1029","The diagnosis of mild cognitive impairment (MCI), a prodromal stage of Alzheimer’s disease (AD), is essential for initiating timely treatment to delay the onset of AD. Previous studies have shown the potential of functional near-infrared spectroscopy (fNIRS) for diagnosing MCI. However, preprocessing fNIRS measurements requires extensive experience to identify poor-quality segments. Moreover, few studies have explored how proper multi-dimensional fNIRS features influence the classification results of the disease. Thus, this study outlined a streamlined fNIRS preprocessing method to process fNIRS measurements and compared multi-dimensional fNIRS features with neural networks in order to explore how temporal and spatial factors affect the classification of MCI and cognitive normality. More specifically, this study proposed using Bayesian optimization-based auto hyperparameter tuning neural networks to evaluate 1D channel-wise, 2D spatial, and 3D spatiotemporal features of fNIRS measurements for detecting MCI patients. The highest test accuracies of 70.83%, 76.92%, and 80.77% were achieved for 1D, 2D, and 3D features, respectively. Through extensive comparisons, the 3D time-point oxyhemoglobin feature was proven to be a more promising fNIRS feature for detecting MCI by using an fNIRS dataset of 127 participants. Furthermore, this study presented a potential approach for fNIRS data processing, and the designed models required no manual hyperparameter tuning, which promoted the general utilization of fNIRS modality with neural network-based classification to detect MCI.","1558-0210","","10.1109/TNSRE.2023.3236007","National Key Research and Development Program of China(grant numbers:2018YFC2001700); National Natural Science Foundation of China(grant numbers:62073319,U1913601,61720106012); Beijing Science and Technology Program(grant numbers:Z211100007921021); Alliance of International Science Organizations (ANSO) Collaborative Research Project(grant numbers:ANSO-CR-PP-2020-03); Strategic Priority Research Program of Chinese Academy of Science(grant numbers:XDB32040000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10015102","Convolutional neural networks (CNN);functional near-infrared spectroscopy (fNIRS);mild cognitive impairment (MCI);multi-dimensional feature evaluation;multilayer perceptron (MLP)","Functional near-infrared spectroscopy;Three-dimensional displays;Feature extraction;Convolutional neural networks;Electroencephalography;Task analysis;Fans","","10","","48","CCBYNCND","11 Jan 2023","","","IEEE","IEEE Journals"
"A Metareinforcement-Learning-Based Hyperspectral Image Classification With a Small Sample Set","P. Y. O. Amoako; G. Cao; D. Yang; L. Amoah; Y. Wang; Q. Yu","School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Wyoming Geographic Information Science Center, University of Wyoming, Laramie, WY, USA; School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"19 Jan 2024","2024","17","","3091","3107","The fine spectral information contained in hyperspectral images (HSI) is combined with rich spatial features to provide feature qualities that serve as distinguishing variables for efficient classification performance. The task's objective is to correctly identify and categorize several object categories in the HSI, such as the ground, flora, water, and buildings, based on their spectral characteristics beneficial for a variety of applications, including mapping minerals, analyzing vegetation, and mapping urban land use. The difficulty of learning new task-specific knowledge from a limited data sample that encourages less training has not been overcome by deep learning models. The capacity of current models to generalize to new tasks on small datasets is still lacking. By learning features that are transferable to facilitate adaptation to novel tasks on small samples, metareinforcement learning (Meta-RL) shows promise in overcoming such difficulties. We proposed a Meta-RL model that decouples task inference to improve metatraining and accelerate metalearning with small HSI labeled samples for efficient classification. The model employs a capsule network for effective cooperation between spectra and spatial bands. To minimize the temporal difference error, the Apex-X Deep Q network parameter update is used to metatrain our model. The proposed model obtains an overall accuracy between 95.85% and 96.78% with computational time between 3207.9 and 7487.9 s for training and validation as well as between 21.57 and 32.98 s for testing. The experimental results prove the competitiveness of the proposed model to existing traditional deep learning, metalearning, and reinforcement learning methods in both classification accuracy and computational cost.","2151-1535","","10.1109/JSTARS.2023.3347879","Natural Science Foundation of Jiangsu Province(grant numbers:BK20231456); National Natural Science Foundation of China(grant numbers:62201282); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375762","Hyperspectral image (HSI);metareinforcement learning (Meta-RL);small sample classification","Task analysis;Training;Metalearning;Reinforcement learning;Convolutional neural networks;Deep learning;Computational modeling","","","","51","CCBYNCND","28 Dec 2023","","","IEEE","IEEE Journals"
"Selfie Periocular Verification Using an Efficient Super-Resolution Approach","J. E. Tapia; A. Valenzuela; R. Lara; M. Gomez-Barrero; C. Busch","Da/sec-Biometrics and Internet Security Research Group, Hochschule Darmstadt, Darmstadt, Germany; Hochschule Ansbach, Ansbach, Germany; Research and Development Center, TOC Biometrics Company, Santiago, Chile; Hochschule Ansbach, Ansbach, Germany; Da/sec-Biometrics and Internet Security Research Group, Hochschule Darmstadt, Darmstadt, Germany",IEEE Access,"30 Jun 2022","2022","10","","67573","67589","Selfie-based biometrics has great potential for a wide range of applications since, e.g. periocular verification is contactless and is safe to use in pandemics such as COVID-19, when a major portion of a face is covered by a facial mask. Despite its advantages, selfie-based biometrics presents challenges since there is limited control over data acquisition at different distances. Therefore, Super-Resolution (SR) has to be used to increase the quality of the eye images and to keep or improve the recognition performance. We propose an Efficient Single Image Super-Resolution algorithm, which takes into account a trade-off between the efficiency and the size of its filters. To that end, the method implements a loss function based on the Sharpness metric used to evaluate iris images quality. Our method drastically reduces the number of parameters compared to the state-of-the-art: from 2,170,142 to 28,654. Our best results on remote verification systems with no redimensioning reached an EER of 8.89% for FaceNet, 12.14% for VGGFace, and 12.81% for ArcFace. Then, embedding vectors were extracted from SR images, the FaceNet-based system yielded an EER of 8.92% for a resizing of x2, 8.85% for x3, and 9.32% for x4.","2169-3536","","10.1109/ACCESS.2022.3184301","European Union’s Horizon 2020 Research and Innovation Program(grant numbers:883356); Deutsche Forschungsgemeinschaft (DFG)-Agence Nationale de la Recherche (ANR) RESPECT Project(grant numbers:406880674); German Federal Ministry of Education and Research and the HessenState Ministry for Higher Education, Research and the Arts within their joint support of the National Research Center for Applied Cybersecurity ATHENE; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9800712","Biometrics;periocular recognition;selfie biometrics","Superresolution;Feature extraction;Image reconstruction;Benchmark testing;Iris recognition;Face recognition;Smart phones","","9","","35","CCBY","20 Jun 2022","","","IEEE","IEEE Journals"
"Predicting Underwater Noise Spectra Dominated by Wind Turbine Contributions","A. Trucco","Department of Electrical, Electronic, Telecommunications Engineering, and Naval Architecture, University of Genoa, Genoa, Italy",IEEE Journal of Oceanic Engineering,"15 Oct 2024","2024","49","4","1675","1694","The study of the impact on the marine ecosystem of an offshore wind farm benefits from the knowledge of the underwater noise observed at a single turbine, as the wind speed varies. The calculation of the noise spectral average at a given wind speed requires many recordings, each acquired in a limited time interval: an extremely time-consuming process. This study investigated how to approach the spectral average using only very few noise recordings for each wind speed, leveraging supervised and unsupervised machine learning techniques. Three different prediction methods, based on mean and interpolation, principal component analysis (PCA), and nonnegative matrix factorization, in combination with four techniques for coefficient estimation as the wind varies, are tested. Prediction based on principal component analysis, combined with Gaussian process regression, outperforms other methods in all three case studies considered. The latter, in addition to the problem described above, include the prediction of the noise spectrum: at wind speeds where no noise recordings are available, and using a few recordings acquired at another (nominally identical) wind turbine.","1558-1691","","10.1109/JOE.2024.3415753","Joint Programming Initiative Healthy and Productive Seas and Oceans; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638433","Offshore wind turbine;principal component analysis (PCA);spectral prediction;supervised and unsupervised learning;underwater noise","Noise measurement;Wind speed;Principal component analysis;Wind turbines;Recording;Supervised learning;Offshore installations;Spectral analysis;Supervised learning;Unsupervised learning;Underwater acoustics","","","","25","CCBY","16 Aug 2024","","","IEEE","IEEE Journals"
"Classification of Volatile Organic Compounds by Differential Mobility Spectrometry Based on Continuity of Alpha Curves","A. Rauhameri; A. Robiños; O. Anttalainen; T. Salpavaara; J. Rantala; V. Surakka; P. Kallio; A. Vehkaoja; P. Müller","Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Laboratory of Molecular Science and Engineering, Åbo Akademi University, Turku, Finland; Olfactomics Oy, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland",IEEE Access,"24 Sep 2024","2024","12","","130571","130582","Classification of volatile organic compounds (VOCs) is of interest in many fields. Examples include but are not limited to medicine, detection of explosives, and food quality control. Measurements collected with so-called electronic noses can be used for classification and analysis of VOCs. One type of electronic noses that has seen considerable development in recent years is Differential Mobility Spectrometry (DMS). DMS yields measurements that are visualized as dispersion plots that contain traces, also known as alpha curves. Current methods used for analyzing DMS dispersion plots do not usually utilize the information stored in the continuity of these traces, which suggests that alternative approaches should be investigated. In this work, for the first time, dispersion plots were interpreted as a series of measurements evolving sequentially. Thus, it was hypothesized that time-series classification algorithms can be effective for classification and analysis of dispersion plots. An extensive dataset of 900 dispersion plots for five chemicals measured at five flow rates and two concentrations was collected. The data was used to analyze the classification performance of six algorithms. The highest classification accuracy of 88% was achieved by a Long-Short Term Memory neural network, which supports the hypothesis that interpreting DMS measurements as sequential data is beneficial and outperformed classification algorithms traditionally used for DMS-based VOC identification.","2169-3536","","10.1109/ACCESS.2024.3453496","Academy of Finland(grant numbers:323498,323529,323530); Suomen Kulttuurirahasto(grant numbers:50221583); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663406","Classification;differential mobility spectrometry;long-short term memory;machine learning;neural networks","Dispersion;Chemicals;Current measurement;Ions;Pollution measurement;Accuracy;Voltage measurement;Classification algorithms;Spectroscopy;Long short term memory;Machine learning;Neural networks;Organic compounds","","","","48","CCBY","2 Sep 2024","","","IEEE","IEEE Journals"
"Design of a Convolutional Neural Network for the Synthesis of a Spherical Crank-Rocker Mechanism","L. Ernesto Valencia-Segura; M. Aurora Diozcora Vargas-Treviño; S. Vergara-Limon; C. Leopoldo Carreón-Díaz de León; D. Marcelo González-Arriaga; M. Vargas-Treviño; J. Gutiérrez-Gutiérrez; M. Guerra-Marín","Facultad de Sistemas Biológicos e Innovación Tecnológica, Universidad Autónoma Benito Juárez de Oaxaca (FASBIT-UABJO), Oaxaca, Mexico; Facultad de Ciencias de la Electrónica, Benemérita Universidad Autónoma de Puebla (FCE-BUAP), Puebla, Mexico; Facultad de Ciencias de la Electrónica, Benemérita Universidad Autónoma de Puebla (FCE-BUAP), Puebla, Mexico; Facultad de Ciencias de la Computación, Benemérita Universidad Autónoma de Puebla (FCC-BUAP), Puebla, Mexico; Facultad de Ciencias de la Computación, Benemérita Universidad Autónoma de Puebla (FCC-BUAP), Puebla, Mexico; Facultad de Sistemas Biológicos e Innovación Tecnológica, Universidad Autónoma Benito Juárez de Oaxaca (FASBIT-UABJO), Oaxaca, Mexico; Facultad de Sistemas Biológicos e Innovación Tecnológica, Universidad Autónoma Benito Juárez de Oaxaca (FASBIT-UABJO), Oaxaca, Mexico; Facultad de Ciencias de la Electrónica, Benemérita Universidad Autónoma de Puebla (FCE-BUAP), Puebla, Mexico",IEEE Access,"28 Feb 2025","2025","13","","36112","36123","The use of CNN has proven to be a crucial tool in solving complex problems, particularly since they utilize images as inputs. Given that the synthesis of mechanisms is a complex task, it has been approached in various ways, ranging from solving the equations that describe kinematic motion to methods that employ heuristic algorithms to solve the problem, including numerical methods among others. This work presents an innovative method for the dimensional synthesis of spherical mechanisms, which is based on the use of CNNs. In the proposed method, the trajectory that must be followed by the coupler point of a spherical four-bar mechanism is converted into images so they can be used as inputs for the CNN. The CNN is trained through a database generated with already known spherical mechanisms that met constraints such as the Grashof criterion and transmission angle constraints, among others, since these ensured the mechanism would function properly. In addition, the kinematic study of the spherical mechanism is presented through relative angles, as this allows for the generation of databases and the extraction of kinematic parameters to label the input images used in CNN training. Once the CNN was trained, the neural network was capable of performing the dimensional synthesis of the mechanism. Moreover, it was tested with three different case studies, resulting in three distinct mechanisms. The obtained results were evaluated using the metr2ev function, which allows for the comparison of two trajectories and provides information on their similarity in both time and frequency. The best result obtained was a similarity of 0.9953, indicating that the trajectory generated by the mechanism is reliable concerning the required precision.","2169-3536","","10.1109/ACCESS.2025.3544450","Mexican Consejo Nacional de Humanidades Ciencia y Tecnología through Facultad de Sistemas Biológicos e Innovación Tecnológica, Universidad Autónoma Benito Juárez de Oaxaca (FASBIT-UABJO); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897958","Convolutional neural network;mechanism synthesis;spherical four-bar mechanism;kinematics","Convolutional neural networks;Vectors;Trajectory;Kinematics;Feature extraction;Hands;Information filters;Couplers;Genetic algorithms;Training","","","","24","CCBY","21 Feb 2025","","","IEEE","IEEE Journals"
"Impact of Generation Rate of Speech Imagery on Neural Activity and BCI Decoding Performance: A fNIRS Study","Z. Guo; L. Xu; W. Tan; F. Chen","College of Medicine and Biological Information Engineering, Northeastern University, Shenyang, China; College of Information Science and Engineering, Northeastern University, Shenyang, China; Key Laboratory of Intelligent Computing in Medical Image, Ministry of Education, Shenyang, China; Department of Electrical and Electronic Engineering, Southern University of Science and Technology, Shenzhen, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"26 Mar 2025","2025","33","","1180","1190","Brain-computer interface (BCI) enables stroke patients to actively modulate neural activity, fostering neuroplasticity and thereby accelerating the recovery process. Due to being portable, non-invasive, and safe, functional near-infrared spectroscopy (fNIRS) has become one of the most widely used neuroimaging techniques. Current BCI research primarily focuses on improving the decoding performance. However, a key aspect of stroke rehabilitation lies in inducing stronger cortical activations in the damaged brain areas, thereby accelerating the recovery of brain functions. This study investigated the regulatory mechanism of the generation rate of speech imagery on neural activity and its impact on BCI decoding performance based on fNIRS. As the generation rate increased from 1 word/4 s to 1 word/2 s, and finally to 1 word/1 s, neural activity in speech-related brain regions steadily enhanced. Correspondingly, the accuracy of detecting speech imagery tasks increased from 83.83% to 85.39%, and ultimately showed a significant improvement, reaching 88.28%. Additionally, the differences in neural activities between the “yes” and “no” speech imagery tasks became more pronounced as the generation rate increased, leading to an improvement in classification performance from 62.81% to 65.78%, and ultimately to 67.50%. This study demonstrates that the neural activity level of most speech-related brain regions during speech imagery enhanced as the generation rate increased. Therefore, accelerating the generation rate of speech imagery induces stronger neural activity and more distinct response patterns between different tasks, which holds the potential to facilitate the development of a BCI feedback system with higher neuroplasticity induction and improved decoding performance.","1558-0210","","10.1109/TNSRE.2025.3552606","Construction Foundation of First Class Universities 219(grant numbers:01270021922201*035); Basic Scientific Research Foundation(grant numbers:02120022124005); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022B1515120056); Basic Research Foundation of Shenzhen(grant numbers:JCYJ20220818101217037); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10931033","Brain computer interface;generation rate of speech imagery;functional near-infrared spectroscopy","Functional near-infrared spectroscopy;Stroke (medical condition);Decoding;Neural activity;Accuracy;Motors;Speech enhancement;Neuroplasticity;Electroencephalography;Image restoration","Humans;Brain-Computer Interfaces;Spectroscopy, Near-Infrared;Male;Imagination;Female;Adult;Speech;Young Adult;Algorithms;Healthy Volunteers;Stroke Rehabilitation","","","46","CCBY","18 Mar 2025","","","IEEE","IEEE Journals"
"Assessment of Oil-Paper Insulation Aging Using Frequency Domain Spectroscopy and Moisture Equilibrium Curves","L. Yang; T. Zou; B. Deng; H. Zhang; Y. Mo; P. Peng","State Key Laboratory of Power Transmission Equipment and System Security and New Technology, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security and New Technology, Chongqing University, Chongqing, China; State Grid Chongqing Electric Power Co., Electric Power Research Institute, Chongqing, China; State Grid Chongqing Electric Power Co., Electric Power Research Institute, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security and New Technology, Chongqing University, Chongqing, China; State Key Laboratory of Power Transmission Equipment and System Security and New Technology, Chongqing University, Chongqing, China",IEEE Access,"14 Apr 2019","2019","7","","45670","45678","Moisture content and aging of oil-paper insulation are two important factors that cause deterioration of the insulation performance of power transformers. The water molecules and aging products are polar, which affects the dielectric response characteristics of the insulation system. Currently, the dielectric response testing technology has realized non-destructive evaluation of the moisture content of transformer insulation. However, the changes in the dielectric response caused by aging products are easily concealed by the influence of moisture, which makes the diagnostic technology ineffective for use in the evaluation of the aging of the oil-paper system. In order to avoid drawback, a new method utilizing frequency domain dielectric spectroscopy (FDS) and the water balance characteristics of the oil-paper insulation is proposed in this paper to evaluate the aging state of oil-paper insulation. The aging of oil-paper insulation will affect the water balance between oil and paper. In this paper, the experimental studies have shown that the water distribution coefficient between oil and paper and the degree of polymerization (DP) of the insulating paper shows a significant linear relationship. Accordingly, in this paper, FDS curves were used to evaluate the moisture content in the insulating paper, oil samples were taken to measure the moisture content in oil, and then the ratio of moisture content in oil and paper were calculated as the aging characteristic parameter. The linear relationship between the characteristic parameter and DP was used to evaluate the aging state of oil-paper insulation. The feasibility of the proposed method is preliminarily verified using oil-paper insulation samples at different aging states and with different moisture levels in the laboratory.","2169-3536","","10.1109/ACCESS.2019.2906379","Electric Power Research Institute(grant numbers:2016YFB0900804); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672782","Aging state;frequency domain spectroscopy;oil-paper insulation;oil-paper moisture balance curve","Aging;Moisture;Oils;Insulation;Dielectrics;Frequency-domain analysis;Testing","","56","","32","OAPA","22 Mar 2019","","","IEEE","IEEE Journals"
